cosmx_threshold,f1_gain,f1_loss,f1_mean,accuracy_3class
0.021502,0.6622516556291391,0.11180124223602485,0.387026448932582,0.8308631211857018
0.013351,0.6737967914438503,0.0967741935483871,0.3852854924961187,0.8003487358326068
0.013018,0.6737967914438503,0.0962566844919786,0.3850267379679144,0.7994768962510898
0.022149,0.6577181208053692,0.11180124223602485,0.384759681520697,0.8308631211857018
0.022666,0.6577181208053692,0.11180124223602485,0.384759681520697,0.8308631211857018
0.023889,0.6530612244897959,0.11464968152866242,0.38385545300922913,0.8343504795117699
0.023983,0.6530612244897959,0.11464968152866242,0.38385545300922913,0.8343504795117699
0.012849,0.6702127659574468,0.0962566844919786,0.3832347252247127,0.7986050566695728
0.012966,0.6702127659574468,0.0962566844919786,0.3832347252247127,0.7986050566695728
0.01276,0.6702127659574468,0.09574468085106383,0.3829787234042553,0.7977332170880558
0.024419,0.6482758620689655,0.11464968152866242,0.38146277179881394,0.8343504795117699
0.012621,0.6631578947368421,0.09574468085106383,0.37945128779395293,0.7959895379250218
0.024352,0.6438356164383562,0.11464968152866242,0.3792426489835093,0.8334786399302528
0.012206,0.6631578947368421,0.09523809523809523,0.37919799498746865,0.7951176983435048
0.012353,0.6631578947368421,0.09523809523809523,0.37919799498746865,0.7951176983435048
0.025696,0.6388888888888888,0.11842105263157894,0.3786549707602339,0.8378378378378378
0.026025,0.6388888888888888,0.11842105263157894,0.3786549707602339,0.8378378378378378
0.025692,0.6388888888888888,0.11688311688311688,0.3778860028860029,0.8360941586748039
0.024839,0.6388888888888888,0.11612903225806452,0.37750896057347666,0.8352223190932868
0.012171,0.6596858638743456,0.09523809523809523,0.3774619795562204,0.7942458587619878
0.024639,0.6388888888888888,0.11538461538461539,0.37713675213675213,0.8343504795117699
0.024551,0.6388888888888888,0.11464968152866242,0.3767692852087756,0.8334786399302528
0.01216,0.65625,0.09523809523809523,0.3757440476190476,0.7933740191804708
0.027638,0.6285714285714286,0.12080536912751678,0.3746883988494727,0.8404533565823888
0.027382,0.6285714285714286,0.12,0.3742857142857143,0.8395815170008718
0.027488,0.6285714285714286,0.12,0.3742857142857143,0.8395815170008718
0.033959,0.6165413533834586,0.13138686131386862,0.3739641073486636,0.8517872711421098
0.02646,0.6293706293706294,0.11842105263157894,0.3738958410011042,0.8369659982563208
0.029119,0.6231884057971014,0.12413793103448276,0.3736631684157921,0.8439407149084568
0.033521,0.6165413533834586,0.13043478260869565,0.37348806799607714,0.8509154315605929
0.033914,0.6165413533834586,0.13043478260869565,0.37348806799607714,0.8509154315605929
0.02908,0.6231884057971014,0.1232876712328767,0.37323803851498905,0.8430688753269399
0.033267,0.6165413533834586,0.12857142857142856,0.3725563909774436,0.8491717523975588
0.028273,0.6231884057971014,0.12162162162162163,0.3724050137093615,0.8413251961639059
0.011944,0.6494845360824743,0.09523809523809523,0.37236131566028474,0.7916303400174368
0.032471,0.6165413533834586,0.1276595744680851,0.37210046392577184,0.8482999128160419
0.033016,0.6165413533834586,0.1276595744680851,0.37210046392577184,0.8482999128160419
0.027311,0.624113475177305,0.12,0.3720567375886525,0.8387096774193549
0.028224,0.6231884057971014,0.12080536912751678,0.37199688746230913,0.8404533565823888
0.027194,0.624113475177305,0.11920529801324503,0.371659386595275,0.8378378378378378
0.031867,0.6165413533834586,0.1267605633802817,0.3716509583818701,0.8474280732345248
0.026562,0.624113475177305,0.11842105263157894,0.371267263904442,0.8369659982563208
0.01189,0.6461538461538462,0.09523809523809523,0.3706959706959707,0.7907585004359198
0.011906,0.6461538461538462,0.09523809523809523,0.3706959706959707,0.7907585004359198
0.035204,0.6060606060606061,0.13432835820895522,0.3701944821347807,0.8535309503051438
0.060334,0.5309734513274337,0.20930232558139536,0.37013788845441453,0.8945074106364429
0.060564,0.5309734513274337,0.20930232558139536,0.37013788845441453,0.8945074106364429
0.027882,0.6187050359712231,0.12080536912751678,0.36975520254936994,0.8395815170008718
0.034889,0.6060606060606061,0.13333333333333333,0.3696969696969697,0.8526591107236269
0.034944,0.6060606060606061,0.13333333333333333,0.3696969696969697,0.8526591107236269
0.011412,0.6428571428571429,0.09523809523809523,0.36904761904761907,0.7898866608544028
0.059463,0.5309734513274337,0.20689655172413793,0.3689350015257858,0.8936355710549259
0.066337,0.5272727272727272,0.21052631578947367,0.36889952153110045,0.902353966870096
0.034378,0.6060606060606061,0.13138686131386862,0.3687237336872373,0.8509154315605929
0.029223,0.6131386861313869,0.12413793103448276,0.36863830858293484,0.8430688753269399
0.011102,0.6395939086294417,0.09473684210526316,0.3671653753673524,0.7881429816913688
0.011221,0.6395939086294417,0.09473684210526316,0.3671653753673524,0.7881429816913688
0.030894,0.6074074074074074,0.1267605633802817,0.36708398539384457,0.8456843940714909
