snpatho_threshold,auc_gain,auc_loss,auc_mean,n_truth_gain,n_truth_loss
0.0051,0.880407226270087,0.9030284259068071,0.8917178260884471,215,145
0.005146,0.880407226270087,0.9030284259068071,0.8917178260884471,215,145
0.010628,0.8968797733979921,0.8864862920054688,0.8916830327017304,133,78
0.005834,0.8821533529254609,0.9011632855724218,0.8916583192489413,197,140
0.001915,0.8682530223054656,0.9150150119166761,0.8916340171110708,308,206
0.001898,0.8680965044128416,0.9150150119166761,0.8915557581647588,310,206
0.001909,0.8680965044128416,0.9150150119166761,0.8915557581647588,310,206
0.010429,0.8973199157224735,0.8857677902621723,0.891543852992323,134,79
0.004616,0.8805146707901419,0.9025409562019391,0.8915278134960405,228,150
0.004629,0.8805146707901419,0.9025409562019391,0.8915278134960405,228,150
0.010393,0.8973063973063972,0.8856635749456085,0.8914849861260028,135,82
0.010404,0.8973063973063972,0.8856635749456085,0.8914849861260028,135,82
0.004475,0.8778143254125788,0.9048267654059772,0.891320545409278,231,152
0.004541,0.8778143254125788,0.9048267654059772,0.891320545409278,231,152
0.005051,0.881477627471384,0.9011632653061225,0.8913204463887532,217,147
0.005053,0.881477627471384,0.9011632653061225,0.8913204463887532,217,147
0.004592,0.8800410994091958,0.9025409562019391,0.8912910278055675,229,150
0.001823,0.8684784277598648,0.9140265284342126,0.8912524780970388,312,210
0.005057,0.8812905279070693,0.9011632653061225,0.8912268966065959,216,147
0.004253,0.8770766615640349,0.9053318135764944,0.8912042375702647,233,160
0.004935,0.8799696898126278,0.9022468414360307,0.8911082656243292,219,148
0.023045,0.970681704885344,0.8115288220551379,0.891105263470241,59,7
0.023479,0.970681704885344,0.8115288220551379,0.891105263470241,59,7
0.004945,0.8798945299769902,0.9022468414360307,0.8910706857065105,218,148
0.004634,0.8795941310426335,0.9025409562019391,0.8910675436222864,226,150
0.00223,0.8697081335154191,0.9123873605867526,0.8910477470510858,296,194
0.002157,0.8695454975705181,0.9123873605867526,0.8909664290786354,299,194
0.002194,0.8695454975705181,0.9123873605867526,0.8909664290786354,299,194
0.004636,0.8793637020968909,0.9025409562019391,0.890952329149415,225,150
0.004657,0.8793637020968909,0.9025409562019391,0.890952329149415,225,150
0.001796,0.8668231623859735,0.915041317292502,0.8909322398392377,314,211
0.002327,0.870559961547705,0.9111965240641711,0.8908782428059381,292,187
0.004317,0.8770766615640349,0.9046482316095027,0.8908624465867687,233,159
0.004726,0.8791178925708074,0.9025409562019391,0.8908294243863732,223,150
0.002352,0.8697690850114013,0.9118525729247088,0.890810828968055,291,186
0.004801,0.8779693206720233,0.90364621861172,0.8908077696418717,222,149
0.00482,0.8779693206720233,0.90364621861172,0.8908077696418717,222,149
0.00175,0.86650962362777,0.915041317292502,0.890775470460136,318,211
0.001871,0.8674979615071001,0.9140265284342126,0.8907622449706564,311,210
0.004466,0.8778143254125788,0.9036177851422259,0.8907160552774023,231,153
0.002141,0.8679929161747344,0.913359189829778,0.8906760530022562,300,195
0.023017,0.9697332106715731,0.8115288220551379,0.8906310163633555,60,7
0.002222,0.8688413547237077,0.9123873605867526,0.8906143576552301,297,194
0.002027,0.8671684772429294,0.914021584716833,0.8905950309798812,304,199
0.00442,0.8778143254125788,0.9033157390876866,0.8905650322501326,231,156
0.00176,0.8660826270381209,0.915041317292502,0.8905619721653115,317,211
0.002247,0.8687077265855018,0.9123873605867526,0.8905475435861272,295,194
0.002252,0.8687077265855018,0.9123873605867526,0.8905475435861272,295,194
0.001761,0.866022330880897,0.915041317292502,0.8905318240866995,316,211
0.00207,0.867959426274381,0.9130590435479562,0.8905092349111686,303,197
0.00208,0.867959426274381,0.9130590435479562,0.8905092349111686,303,197
0.00194,0.8672017992864898,0.9138107814199161,0.890506290353203,307,205
0.002961,0.8731863102572486,0.9077868852459016,0.890486597751575,273,171
0.002349,0.8697690850114013,0.9111965240641711,0.8904828045377862,291,187
